repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22756,0,12.774843,,,,,,,,,,,,,
apache/rocketmq,22063,22,8.757531,,,,,,,,,,,,,
google/ExoPlayer,21873,28,11.222815,,,,,,,,,,,,,
elunez/eladmin,21765,1,6.720467,,,,,,,,,,,,,
dataease/dataease,21678,97,4.582746,,,,,,,,,,,,,
openjdk/jdk,21624,0,6.960989,,,,,,,,,,,,,
LSPosed/LSPosed,21454,39,4.724602,,,,,,,,,,,,,
CarGuo/GSYVideoPlayer,21068,53,8.803553,,,,,,,,,,,,,
oracle/graal,21061,32,9.635333,,,,,,,,,,,,,
brettwooldridge/HikariCP,20686,0,11.903582,,,,,,,,,,,,,
kunal-kushwaha/DSA-Bootcamp-Java,20506,0,4.094471,,,,,,,,,,,,,
kestra-io/kestra,20485,303,6.027217,,,,,,,,,,,,,
apache/shardingsphere,20437,58,9.62488,,,,,,,,,,,,,
didi/DoKit,20392,14,7.054299,,,,,,,,,,,,,
mybatis/mybatis-3,20217,46,12.548193,,,,,,,,,,,,,
ReactiveX/RxAndroid,20041,20,11.041381,,,,,,,,,,,,,
linlinjava/litemall,19887,8,7.450583,,,,,,,,,,,,,
yudaocode/SpringBoot-Labs,19841,0,6.974408,,,,,,,,,,,,,
thingsboard/thingsboard,19638,70,8.754616,,,,,,,,,,,,,
xiaojieonly/Ehviewer_CN_SXJ,19482,106,4.815227,,,,,,,,,,,,,
dianping/cat,18928,3,12.744466,,,,,,,,,,,,,
Baseflow/PhotoView,18874,5,13.128892,,,,,,,,,,,,,
JetBrains/intellij-community,18729,4,13.92596,,,,,,,,,,,,,
antlr/antlr4,18283,31,15.578247,,,,,,,,,,,,,
williamfiset/Algorithms,18187,0,8.462432,,,,,,,,,,,,,
Tencent/APIJSON,18150,109,8.781709,,,,,,,,,,,,,
dromara/Sa-Token,18125,38,5.581331,,,,,,,,,,,,,
forezp/SpringCloudLearning,17973,0,8.404108,,,,,,,,,,,,,
LMAX-Exchange/disruptor,17970,14,12.94853,,,,,,,,,,,,,
YunaiV/yudao-cloud,17801,32,6.339084,,,,,,,,,,,,,
ashishps1/awesome-low-level-design,17639,0,1.79492,,,,,,,,,,,,,
Tencent/tinker,17504,60,8.990367,,,,,,,,,,,,,
openzipkin/zipkin,17290,97,13.240941,,,,,,,,,,,,,
infinilabs/analysis-ik,17188,1,13.715662,,,,,,,,,,,,,
justauth/JustAuth,17165,46,6.588959,,,,,,,,,,,,,
facebook/fresco,17134,55,10.506794,,,,,,,,,,,,,
baomidou/mybatis-plus,17093,38,9.042027,,,,,,,,,,,,,
ben-manes/caffeine,17003,71,10.723223,,,,,,,,,,,,,
material-components/material-components-android,16932,111,8.742908,,,,,,,,,,,,,
nostra13/Android-Universal-Image-Loader,16902,0,13.766566,,,,,,,,,,,,,
winterbe/java8-tutorial,16781,0,11.466928,,,,,,,,,,,,,
alibaba/DataX,16779,7,7.623815,,,,,,,,,,,,,
shuzheng/zheng,16732,0,8.913347,,,,,,,,,,,,,
Grasscutters/Grasscutter,16646,20,3.379853,,,,,,,,,,,,,
heibaiying/BigData-Notes,16629,0,6.485838,,,,,,,,,,,,,
JeffLi1993/springboot-learning-example,16559,0,8.571467,,,,,,,,,,,,,
prestodb/presto,16484,12,13.0677,,,,,,,,,,,,,
gyoogle/tech-interview-for-developer,16436,0,6.236346,,,,,,,,,,,,,
questdb/questdb,16036,93,11.34851,,,,,,,,,,,,,
android-hacker/VirtualXposed,15818,50,7.755362,,,,,,,,,,,,,
dyc87112/SpringBoot-Learning,15791,0,9.034551,,,,,,,,,,,,,
android10/Android-CleanArchitecture,15564,0,11.040197,,,,,,,,,,,,,
mockito/mockito,15269,222,12.887528,,,,,,,,,,,,,
apache/hadoop,15235,0,11.016372,,,,,,,,,,,,,
Konloch/bytecode-viewer,15193,61,10.8873,,,,,,,,,,,,,
neo4j/neo4j,14993,72,12.806725,,,,,,,,,,,,,
zhisheng17/flink-learning,14918,0,6.67133,,,,,,,,,,,,,
quarkusio/quarkus,14876,411,7.162193,,,,,,,,,,,,,
apache/pulsar,14832,111,9.182012,,,,,,,,,,,,,
java-decompiler/jd-gui,14709,18,10.444335,,,,,,,,,,,,,
elastic/logstash,14620,206,14.792493,,,,,,,,,,,,,
eclipse-vertx/vert.x,14557,0,14.213279,,,,,,,,,,,,,
hdodenhof/CircleImageView,14536,0,11.625802,,,,,,,,,,,,,
Tencent/QMUI_Android,14513,35,8.368522,,,,,,,,,,,,,
alibaba/ARouter,14495,16,8.719947,,,,,,,,,,,,,
supertokens/supertokens-core,14464,91,5.660393,,,,,,,,,,,,,
arduino/Arduino,14412,37,14.960227,,,,,,,,,,,,,
theonedev/onedev,14229,428,6.825185,,,,,,,,,,,,,
deeplearning4j/deeplearning4j,14085,0,11.767108,,,,,,,,,,,,,
zaproxy/zaproxy,14034,19,10.251381,,,,,,,,,,,,,
GoogleContainerTools/jib,14009,168,7.611911,,,,,,,,,,,,,
orhanobut/logger,13891,16,10.456082,,,,,,,,,,,,,
Netflix/zuul,13874,28,12.47429,,,,,,,,,,,,,
apache/druid,13813,68,12.8603,,,,,,,,,,,,,
apache/dolphinscheduler,13786,53,6.508769,,,,,,,,,,,,,
seaswalker/spring-analysis,13724,0,8.982061,,,,,,,,,,,,,
pinpoint-apm/pinpoint,13704,61,10.870987,,,,,,,,,,,,,
JessYanCoding/AndroidAutoSize,13690,14,7.046253,,,,,,,,,,,,,
Curzibn/Luban,13677,6,9.110746,,,,,,,,,,,,,
sqshq/piggymetrics,13667,2,10.431962,,,,,,,,,,,,,
DuGuQiuBai/Java,13665,0,9.773331,,,,,,,,,,,,,
lgvalle/Material-Animations,13628,0,10.48912,,,,,,,,,,,,,
janishar/mit-deep-learning-book-pdf,13562,3,8.40677,,,,,,,,,,,,,
cryptomator/cryptomator,13559,193,11.583823,,,,,,,,,,,,,
tink-crypto/tink,13552,21,11.242548,,,,,,,,,,,,,
LuckSiege/PictureSelector,13542,116,8.661731,,,,,,,,,,,,,
languagetool-org/languagetool,13498,0,12.069348,,,,,,,,,,,,,
Bigkoo/Android-PickerView,13483,0,10.682951,,,,,,,,,,,,,
kekingcn/kkFileView,13280,16,7.724942,,,,,,,,,,,,,
projectlombok/lombok,13255,0,16.235997,,,,,,,,,,,,,
macrozheng/mall-learning,13247,0,6.394157,,,,,,,,,,,,,
youth5201314/banner,13038,0,9.365581,,,,,,,,,,,,,
pxb1988/dex2jar,12888,8,10.46855,,,,,,,,,,,,,
ashishps1/awesome-leetcode-resources,12780,0,1.858855,,,,,,,,,,,,,
Netflix/conductor,12775,319,8.736677,,,,,,,,,,,,,
facebook/stetho,12709,13,10.612133,,,,,,,,,,,,,
codecentric/spring-boot-admin,12672,136,11.108929,,,,,,,,,,,,,
google/guice,12664,19,11.266394,,,,,,,,,,,,,
alibaba/COLA,12631,11,7.571384,,,,,,,,,,,,,
greenrobot/greenDAO,12630,8,13.86542,,,,,,,,,,,,,
Netflix/eureka,12617,151,13.103598,,,,,,,,,,,,,
apache/zookeeper,12587,0,16.436325,,,,,,,,,,,,,
macrozheng/mall-swarm,12586,3,5.773397,,,,,,,,,,,,,
zhihu/Matisse,12569,15,8.391399,,,,,,,,,,,,,
daimajia/AndroidViewAnimations,12472,9,11.197426,,,,,,,,,,,,,
metersphere/metersphere,12422,179,5.582298,,,,,,,,,,,,,
daimajia/AndroidSwipeLayout,12404,18,11.024911,,,,,,,,,,,,,
pagehelper/Mybatis-PageHelper,12337,15,11.234427,,,,,,,,,,,,,
redis/jedis,12145,114,15.229232,,,,,,,,,,,,,
amitshekhariitbhu/android-interview-questions,12044,0,8.151236,,,,,,,,,,,,,
Yalantis/uCrop,12037,20,9.660374,,,,,,,,,,,,,
plantuml/plantuml,12011,57,14.82918,,,,,,,,,,,,,
Tencent/matrix,11897,16,6.728883,,,,,,,,,,,,,
Tencent/VasSonic,11869,10,8.089429,,,,,,,,,,,,,
grpc/grpc-java,11835,180,10.735743,,,,,,,,,,,,,
trinodb/trino,11815,0,6.622164,,,,,,,,,,,,,
Team-xManager/xManager,11801,51,4.565481,,,,,,,,,,,,,
debezium/debezium,11789,0,9.613078,,,,,,,,,,,,,
frank-lam/fullstack-tutorial,11684,0,7.392048,,,,,,,,,,,,,
code4craft/webmagic,11617,33,12.362716,,,,,,,,,,,,,
xpipe-io/xpipe,11506,118,2.600741,,,,,,,,,,,,,
OpenRefine/OpenRefine,11488,72,12.884114,,,,,,,,,,,,,
realm/realm-java,11485,0,13.370661,,,,,,,,,,,,,
opensearch-project/OpenSearch,11469,59,4.591645,,,,,,,,,,,,,
careercup/CtCI-6th-Edition,11460,0,10.173175,,,,,,,,,,,,,
gyf-dev/ImmersionBar,11451,0,8.374556,,,,,,,,,,,,,
newbee-ltd/newbee-mall,11389,0,5.951699,,,,,,,,,,,,,
PaperMC/Paper,11385,0,9.614745,,,,,,,,,,,,,
jhy/jsoup,11242,20,15.706939,,,,,,,,,,,,,
provectus/kafka-ui,11240,25,5.769632,,,,,,,,,,,,,
permissions-dispatcher/PermissionsDispatcher,11235,40,10.050975,,,,,,,,,,,,,
mission-peace/interview,11207,0,11.1215,,,,,,,,,,,,,
apereo/cas,11186,300,13.984818,,,,,,,,,,,,,
H07000223/FlycoTabLayout,11128,4,9.817778,,,,,,,,,,,,,
daniulive/SmarterStreaming,11117,0,9.438485,,,,,,,,,,,,,
lingochamp/FileDownloader,11112,65,9.698978,,,,,,,,,,,,,
beemdevelopment/Aegis,11058,72,9.049207,,,,,,,,,,,,,
jfeinstein10/SlidingMenu,11050,0,13.176738,,,,,,,,,,,,,
androidannotations/androidannotations,11041,0,13.658194,,,,,,,,,,,,,
datahub-project/datahub,10995,104,9.792691,,,,,,,,,,,,,
doocs/jvm,10958,0,7.197731,,,,,,,,,,,,,
LawnchairLauncher/lawnchair,10904,30,8.502317,,,,,,,,,,,,,
square/javapoet,10870,0,12.584028,,,,,,,,,,,,,
ssssssss-team/spider-flow,10850,2,5.436163,,,,,,,,,,,,,
jwtk/jjwt,10831,9,10.97324,,,,,,,,,,,,,
apple/pkl,10830,16,1.621612,,,,,,,,,,,,,
microg/GmsCore,10798,41,11.362657,,,,,,,,,,,,,
alibaba/vlayout,10777,34,8.513841,,,,,,,,,,,,,
aosp-mirror/platform_frameworks_base,10757,0,16.865866,,,,,,,,,,,,,
asLody/VirtualApp,10737,0,9.159378,,,,,,,,,,,,,
TooTallNate/Java-WebSocket,10728,19,15.616812,,,,,,,,,,,,,
clojure/clojure,10705,0,15.179154,,,,,,,,,,,,,
android-async-http/android-async-http,10635,3,14.53492,,,,,,,,,,,,,
jeasonlzy/okhttp-OkGo,10602,14,9.633349,,,,,,,,,,,,,
StarRocks/starrocks,10573,152,3.997038,,,,,,,,,,,,,
google/auto,10517,66,12.282321,,,,,,,,,,,,,
lipangit/JiaoZiVideoPlayer,10494,78,9.573061,,,,,,,,,,,,,
tbruyelle/RxPermissions,10487,11,9.928657,,,,,,,,,,,,,
Activiti/Activiti,10421,1000,12.970676,,,,,,,,,,,,,
zfile-dev/zfile,10369,67,6.040904,,,,,,,,,,,,,
resilience4j/resilience4j,10349,35,10.252245,,,,,,,,,,,,,
JessYanCoding/MVPArms,10294,25,9.075028,,,,,,,,,,,,,
awsdocs/aws-doc-sdk-examples,10180,0,9.041001,,,,,,,,,,,,,
JakeWharton/ViewPagerIndicator,10108,0,14.081599,,,,,,,,,,,,,
signalapp/Signal-Server,10039,0,11.73367,,,,,,,,,,,,,
stanfordnlp/CoreNLP,9964,19,12.183812,,,,,,,,,,,,,
wasabeef/glide-transformations,9929,0,10.649095,,,,,,,,,,,,,
googlesamples/easypermissions,9917,12,9.698201,,,,,,,,,,,,,
paascloud/paascloud-master,9894,0,7.465531,,,,,,,,,,,,,
uknownothingsnow/JsBridge,9888,0,10.517493,,,,,,,,,,,,,
SonarSource/sonarqube,9840,65,14.659986,,,,,,,,,,,,,
hackware1993/MagicIndicator,9805,12,9.187335,,,,,,,,,,,,,
HarlonWang/AVLoadingIndicatorView,9769,1,9.859482,,,,,,,,,,,,,
OpenFeign/feign,9729,39,12.186295,,,,,,,,,,,,,
YoKeyword/Fragmentation,9727,30,9.526764,,,,,,,,,,,,,
lihengming/spring-boot-api-project-seed,9681,4,8.196032,,,,,,,,,,,,,
xuchengsheng/spring-reading,9678,0,1.967809,,,,,,,,,,,,,
perwendel/spark,9659,0,14.331355,,,,,,,,,,,,,
ksoichiro/Android-ObservableScrollView,9655,0,10.818363,,,,,,,,,,,,,
react-native-camera/react-native-camera,9648,144,10.425692,,,,,,,,,,,,,
koral--/android-gif-drawable,9630,61,12.59125,,,,,,,,,,,,,
bilibili/DanmakuFlameMaster,9602,5,12.061626,,,,,,,,,,,,,
spinnaker/spinnaker,9573,13,11.171057,,,,,,,,,,,,,
liaohuqiu/android-Ultra-Pull-To-Refresh,9568,8,10.80599,,,,,,,,,,,,,
MyCATApache/Mycat-Server,9555,7,10.748545,,,,,,,,,,,,,
umano/AndroidSlidingUpPanel,9505,8,12.258038,,,,,,,,,,,,,
crossoverJie/cim,9441,9,7.28914,,,,,,,,,,,,,
pockethub/PocketHub,9384,1,13.985814,,,,,,,,,,,,,
Justson/AgentWeb,9353,21,8.311289,,,,,,,,,,,,,
apache/cassandra,9350,0,16.287287,,,,,,,,,,,,,
huanghaibin-dev/CalendarView,9309,1,8.481093,,,,,,,,,,,,,
seven332/EhViewer,9307,97,11.306008,,,,,,,,,,,,,
GcsSloop/AndroidNote,9292,0,9.661952,,,,,,,,,,,,,
spring-projects/spring-security,9279,227,13.645754,,,,,,,,,,,,,
android/testing-samples,9278,0,10.896266,,,,,,,,,,,,,
json-path/JsonPath,9275,10,14.607712,,,,,,,,,,,,,
cats-oss/android-gpuimage,9126,0,12.913567,,,,,,,,,,,,,
flyway/flyway,9057,265,12.717979,,,,,,,,,,,,,
didi/VirtualAPK,9042,4,8.179912,,,,,,,,,,,,,
navasmdc/MaterialDesignLibrary,8975,3,10.925953,,,,,,,,,,,,,
apache/jmeter,8971,10,15.271834,,,,,,,,,,,,,
KunMinX/Jetpack-MVVM-Best-Practice,8951,0,5.842024,,,,,,,,,,,,,
langchain4j/langchain4j,8864,51,2.204999,,,,,,,,,,,,,
Freelander/Android_Data,8842,0,10.417397,,,,,,,,,,,,,
nathanmarz/storm,8811,0,13.962196,,,,,,,,,,,,,
laobie/StatusBarUtil,8806,0,9.54933,,,,,,,,,,,,,
java-native-access/jna,8792,0,14.347595,,,,,,,,,,,,,
apache/seatunnel,8757,51,8.078403,,,,,,,,,,,,,
Blankj/awesome-java-leetcode,8717,0,8.378812,,,,,,,,,,,,,
chrisbanes/Android-PullToRefresh,8689,0,13.762096,,,,,,,,,,,,,
flowable/flowable-engine,8684,28,8.889022,,,,,,,,,,,,,
ybq/Android-SpinKit,8664,0,9.455607,,,,,,,,,,,,,
checkstyle/checkstyle,8661,169,12.008036,,,,,,,,,,,,,
karatelabs/karate,8651,54,8.567709,,,,,,,,,,,,,
apache/shenyu,8649,13,7.147642,,,,,,,,,,,,,
shwenzhang/AndResGuard,8621,4,9.896045,,,,,,,,,,,,,
react-native-image-picker/react-native-image-picker,8584,142,10.237292,,,,,,,,,,,,,
chrisjenx/Calligraphy,8571,4,11.704076,,,,,,,,,,,,,
airbnb/epoxy,8563,76,9.067926,,,,,,,,,,,,,
amitshekhariitbhu/Android-Debug-Database,8561,14,8.795139,,,,,,,,,,,,,
facebook/buck,8557,57,12.378545,,,,,,,,,,,,,
dropwizard/dropwizard,8553,188,14.620654,,,,,,,,,,,,,
junit-team/junit4,8535,13,16.637559,,,,,,,,,,,,,
frohoff/ysoserial,8495,1,10.597456,,,,,,,,,,,,,
google/tsunami-security-scanner,8459,27,5.249395,,,,,,,,,,,,,
roughike/BottomBar,8393,4,9.467375,,,,,,,,,,,,,
hs-web/hsweb-framework,8382,30,9.625904,,,,,,,,,,,,,
PojavLauncherTeam/PojavLauncher,8362,126,5.480852,,,,,,,,,,,,,
LSPosed/LSPatch,8359,9,4.50706,,,,,,,,,,,,,
DImuthuUpe/AndroidPdfViewer,8354,0,9.251674,,,,,,,,,,,,,
ZCShou/GoGoGo,8338,8,3.750118,,,,,,,,,,,,,
testcontainers/testcontainers-java,8310,85,10.394226,,,,,,,,,,,,,
wildfirechat/im-server,8286,107,6.610218,,,,,,,,,,,,,
apache/beam,8281,52,9.584363,,,,,,,,,,,,,
apache/shardingsphere-elasticjob,8205,30,9.978217,,,,,,,,,,,,,
pentaho/pentaho-kettle,8153,1,11.902131,,,,,,,,,,,,,
alibaba/atlas,8152,7,8.511294,,,,,,,,,,,,,
alibaba/otter,8123,10,12.067421,,,,,,,,,,,,,
cabaletta/baritone,8119,85,7.089318,,,,,,,,,,,,,
alibaba/transmittable-thread-local,8118,58,11.889542,,,,,,,,,,,,,
florent37/MaterialViewPager,8115,11,10.360785,,,,,,,,,,,,,
guolindev/LitePal,8100,0,12.533561,,,,,,,,,,,,,
HMCL-dev/HMCL,8086,256,10.200369,,,,,,,,,,,,,
bytedeco/javacv,8074,13,11.368776,,,,,,,,,,,,,
aeron-io/aeron,8066,126,11.568246,,,,,,,,,,,,,
aritraroy/UltimateAndroidReference,8065,0,8.398934,,,,,,,,,,,,,
Netflix/SimianArmy,7985,4,13.158399,,,,,,,,,,,,,
davemorrissey/subsampling-scale-image-view,7982,21,12.020052,,,,,,,,,,,,,
junixapp/XPopup,7961,221,6.739933,,,,,,,,,,,,,
apache/tomcat,7936,0,13.923971,,,,,,,,,,,,,
JakeWharton/hugo,7931,0,11.771761,,,,,,,,,,,,,
apache/iceberg,7917,30,6.788054,,,,,,,,,,,,,
dropwizard/metrics,7853,138,15.515946,,,,,,,,,,,,,
HannahMitt/HomeMirror,7845,0,10.031165,,,,,,,,,,,,,
software-mansion/react-native-svg,7807,123,9.627429,,,,,,,,,,,,,
ChrisRM/material-theme-jetbrains,7798,17,9.945845,,,,,,,,,,,,,
Graylog2/graylog2-server,7784,0,15.296724,,,,,,,,,,,,,
trello-archive/RxLifecycle,7696,22,10.123088,,,,,,,,,,,,,
goldze/MVVMHabit,7686,3,8.119312,,,,,,,,,,,,,
vipshop/vjtools,7672,9,7.265276,,,,,,,,,,,,,
Tencent/Shadow,7638,5,6.224697,,,,,,,,,,,,,
krahets/LeetCode-Book,7628,0,3.710959,,,,,,,,,,,,,
gedoor/MyBookshelf,7622,165,7.227553,,,,,,,,,,,,,
lecho/hellocharts-android,7617,14,10.892918,,,,,,,,,,,,,
google/android-classyshark,7587,17,9.893093,,,,,,,,,,,,,
PowerJob/PowerJob,7580,51,5.466484,,,,,,,,,,,,,
google/closure-compiler,7564,0,11.382275,,,,,,,,,,,,,
koush/AndroidAsync,7547,0,13.025905,,,,,,,,,,,,,
kaushikgopal/RxJava-Android-Samples,7530,0,11.115138,,,,,,,,,,,,,
kevin-wayne/algs4,7501,0,10.008562,,,,,,,,,,,,,
mapstruct/mapstruct,7479,35,13.266235,,,,,,,,,,,,,
yuanguangxin/LeetCode,7467,0,5.645391,,,,,,,,,,,,,
swagger-api/swagger-core,7450,120,14.162993,,,,,,,,,,,,,
jeecgboot/jimureport,7441,29,5.745391,,,,,,,,,,,,,
enso-org/enso,7435,469,8.712656,,,,,,,,,,,,,
lenve/VBlog,7421,0,7.686687,,,,,,,,,,,,,
dyc87112/SpringCloud-Learning,7402,0,9.03455,,,,,,,,,,,,,
abel533/Mapper,7374,8,10.783196,,,,,,,,,,,,,
leolin310148/ShortcutBadger,7356,0,11.79873,,,,,,,,,,,,,
Qihoo360/RePlugin,7341,19,8.237153,,,,,,,,,,,,,
square/dagger,7302,0,13.084315,,,,,,,,,,,,,
MinecraftForge/MinecraftForge,7295,0,13.593309,,,,,,,,,,,,,
gunnarmorling/1brc,7291,0,1.682787,,,,,,,,,,,,,
gocd/gocd,7285,86,11.722918,,,,,,,,,,,,,
Bearded-Hen/Android-Bootstrap,7273,5,11.836748,,,,,,,,,,,,,
pedant/sweet-alert-dialog,7255,2,10.873732,,,,,,,,,,,,,
crazycodeboy/TakePhoto,7243,15,10.083327,,,,,,,,,,,,,
Exrick/xmall,7232,0,8.101153,,,,,,,,,,,,,
geeeeeeeeek/WeChatLuckyMoney,7223,20,9.925661,,,,,,,,,,,,,
AntennaPod/AntennaPod,7212,62,13.091275,,,,,,,,,,,,,
cymcsg/UltimateRecyclerView,7207,9,10.598,,,,,,,,,,,,,
google/agera,7169,16,9.712429,,,,,,,,,,,,,
NanoHttpd/nanohttpd,7158,3,13.062589,,,,,,,,,,,,,
dependency-check/DependencyCheck,7157,85,12.997012,,,,,,,,,,,,,
didi/KnowStreaming,7141,23,5.458739,,,,,,,,,,,,,
ogaclejapan/SmartTabLayout,7101,0,10.550434,,,,,,,,,,,,,
JakeWharton/ActionBarSherlock,7076,32,14.492249,,,,,,,,,,,,,
Alluxio/alluxio,7065,61,12.698928,,,,,,,,,,,,,
naman14/Timber,7057,5,10.226763,,,,,,,,,,,,,
Genymobile/gnirehtet,7053,12,8.562231,,,,,,,,,,,,,
google/error-prone,7038,57,11.033663,,,,,,,,,,,,,
NLPchina/elasticsearch-sql,7033,272,11.026476,,,,,,,,,,,,,
h2pl/JavaTutorial,7029,1,7.341156,,,,,,,,,,,,,
rest-assured/rest-assured,7019,0,14.868348,,,,,,,,,,,,,
